Weight    Value     
    78    88        
    56    18        
    62    5         
    89    94        
    58    7         
    94    67        
     2    93        
    74    67        
    46    99        
    15    74        
    39    58        
    75    29        
    37    16        
    19    20        
    98    4         
    80    25        
    10    75        
    31    58        
    79    16        
    59    59        
    45    75        
    49    13        
    60    48        
     4    1         
    96    41        
    52    43        
    90    54        
    11    18        
    51    11        
    84    97        
     8    2         
    23    64        
    37    19        
    24    16        
    16    38        
    33    56        
    93    12        
    40    57        
    53    75        
    64    72        
    29    84        
    27    50        
     6    40        
     2    96        
    57    86        
    62    23        
    57    28        
    96    85        
    80    5         
    37    46        
    64    3         
    75    30        
     2    1         
    83    7         
    61    12        
    54    29        
    48    99        
    80    65        
    72    99        
    97    48        
    73    9         
    33    63        
    91    78        
    45    94        
    69    19        
    24    72        
    73    7         
    64    100       
    20    55        
    21    73        
    72    67        
     2    71        
    79    44        
    19    41        
     3    80        
    59    17        
    73    90        
     9    24        
    80    39        
    99    32        
     1    34        
    73    14        
    89    51        
    25    37        
     6    48        
    88    53        
    40    86        
    49    46        
    67    29        
    28    5         
    19    28        
    68    62        
    89    77        
    12    11        
    18    71        
    13    48        
    10    64        
    84    88        
    25    35        
    94    99        
    38    77        
    69    4         
    75    74        
    16    83        
     7    46        
    66    30        
    70    100       
    59    20        
    20    36        
    10    48        
    54    28        
    83    29        
    53    89        
    26    73        
    21    2         
    24    65        
    78    36        
    12    92        
    39    92        
    93    71        
    14    71        
    82    95        
     8    88        
    97    34        
    74    54        
    85    57        
    98    25        
     6    18        
    37    23        
     4    38        
    76    40        
    77    86        
    99    99        
    81    64        
    56    61        
    94    84        
    90    61        
    59    82        
    84    45        
    15    83        
    14    54        
    90    98        
    82    57        
    49    65        
    58    89        
    76    86        
    53    81        
    87    49        
    70    55        
    17    62        
    44    52        
    68    91        
    15    53        
    54    2         
     9    54        
    30    96        
    70    22        
    41    33        
     6    16        
    89    62        
    87    61        
    68    9         
    42    37        
    67    8         
    71    55        
    77    84        
    97    55        
    60    11        
     5    20        
    17    55        
    45    69        
    99    65        
    54    7         
    61    55        
    46    25        
    97    56        
     8    90        
    87    4         
    56    88        
    97    59        
     6    19        
   100    87        
    46    86        
    63    33        
    94    62        
    43    46        
    70    86        
    22    70        
    98    25        
    69    1         
    26    14        
    27    32        
    87    83        
    22    42        
    86    68        
    46    45        
    83    14        
    98    58        
     4    29        
     7    9         
    24    19        
    55    11        
    51    16        
    42    84        
    23    30        
    47    69        
    87    46        
    41    63        
    13    82        
    64    93        
    22    89        
    14    99        
    16    7         
    64    73        
    53    47        
    68    75        
     5    24        
    65    36        
    67    89        
    13    78        
    32    86        
    14    66        
    75    30        
    91    7         
    13    84        
    59    23        
    55    76        
    68    1         
    36    52        
    45    47        
    43    29        
    51    20        
    30    6         
    82    23        
    84    6         
    86    76        
     4    71        
    77    4         
    27    46        
    52    21        
    43    17        
    17    18        
    16    82        
    94    53        
     9    44        
    55    92        
    85    51        
    33    9         
    65    25        
    62    17        
    12    33        
    56    76        
    51    44        
    17    58        
    72    3         
    82    56        
    78    95        
    81    72        
    70    84        
    71    52        
    87    11        
    54    69        
     8    55        
    82    88        
    11    49        
    31    57        
    83    36        
    72    11        
    86    94        
    53    1         
   100    65        
    35    50        
    81    81        
    52    48        
    36    81        
    91    44        
    82    48        
     8    27        
     9    42        
    33    67        
    42    92        
    42    38        
    10    70        
    18    38        
    39    80        
    16    2         
    46    53        
    72    91        
     7    1         
     7    28        
    13    16        
    11    88        
    63    76        
    76    67        
    59    17        
    32    91        
    30    43        
    67    21        
    52    64        
    79    89        
    45    13        
    92    23        
    13    34        
    93    81        
    18    28        
    99    99        
    25    31        
    62    16        
    87    72        
    82    23        
    52    62        
    33    11        
    41    3         
    45    5         
    40    89        
    35    2         
     2    61        
     5    33        
    98    75        
    51    61        
    37    47        
    66    45        
    17    70        
    35    83        
     9    43        
    16    92        
    30    5         
    63    86        
    17    57        
     3    24        
    66    20        
    39    10        
    22    82        
    68    55        
    28    89        
    90    53        
    43    1         
    35    18        
    69    76        
    64    21        
    95    71        
    94    31        
    85    52        
    91    8         
    28    59        
    84    42        
    12    75        
    66    45        
    81    78        
    12    73        
    63    58        
    81    5         
    35    86        
    36    57        
    71    82        
    58    95        
    98    57        
    33    75        
    69    17        
    58    84        
    78    82        
    68    25        
    81    18        
    52    61        
    98    79        
    63    93        
    66    34        
    74    94        
    18    26        
     5    89        
     9    39        
    81    51        
    86    71        
    74    72        
    37    4         
    28    25        
    37    10        
    16    29        
    79    35        
    59    80        
    60    74        
    68    56        
    18    84        
    61    32        
    24    60        
    77    96        
    51    70        
    77    21        
    40    70        
    50    35        
     1    40        
     1    56        
    40    55        
    42    98        
    44    56        
    34    24        
    39    50        
    91    75        
    74    77        
    58    68        
    12    2         
    76    15        
    40    100       
    65    99        
    78    70        
     4    98        
    31    22        
    88    19        
    62    45        
    79    8         
    56    27        
     9    19        
    45    86        
    70    1         
    93    59        
    17    59        
    53    28        
     5    24        
    54    60        
    27    92        
     8    22        
    81    35        
    30    38        
    72    51        
    83    13        
    72    31        
    33    11        
    41    84        
    89    96        
    58    2         
    20    48        
     1    65        
     5    32        
    24    77        
     9    16        
    35    57        
    18    86        
    75    100       
    40    13        
    53    93        
    74    53        
    14    30        
    13    54        
    70    93        
    66    63        
    87    37        
    57    17        
    88    41        
    13    76        
    27    92        
    25    22        
    94    74        
    93    55        
    84    73        
    29    77        
    68    65        
    49    79        
    35    75        
    39    48        
    36    75        
    37    4         
    75    84        
    72    55        
    60    28        
    29    4         
    21    72        
    67    56        
    36    99        
    49    39        
    61    37        
    88    60        
     8    99        
    99    44        
    37    29        
    88    2         
    21    79        
     6    19        
    61    70        
    69    4         
    54    27        
    38    79        
    26    68        
    52    29        
    56    21        
    79    36        
    18    93        
    41    75        
    31    48        
    47    3         
    14    24        
    92    30        
    81    51        
    23    69        
     6    28        
    31    33        
    11    16        
    66    33        
    43    45        
    30    49        
    54    27        
    27    19        
    83    39        
    45    23        
     3    12        
     2    79        
    77    94        
    85    92        
    23    15        
     9    41        
    50    15        
    48    5         
    15    1         
    23    86        
    93    16        
    40    79        
    19    36        
    63    14        
    76    2         
    58    66        
    37    11        
    76    27        
    39    43        
    56    65        
    72    79        
    60    72        
    54    6         
    93    16        
    29    4         
    85    89        
    18    60        
    81    44        
    40    16        
    33    7         
    30    28        
     1    41        
    74    77        
    61    55        
     4    53        
    71    73        
    63    93        
    74    15        
     6    87        
    87    45        
    16    86        
    80    96        
    50    96        
    80    27        
    80    8         
    97    17        
    41    26        
    56    79        
    30    30        
    37    14        
    99    7         
    85    78        
    40    93        
    25    45        
    28    29        
    35    55        
     1    95        
     3    70        
    61    95        
    68    22        
     8    27        
    22    100       
    61    99        
    33    20        
     5    2         
    94    38        
    35    12        
    36    11        
    31    83        
     6    90        
    30    34        
    52    8         
    95    98        
    19    50        
    35    31        
    84    45        
    18    54        
    46    27        
    98    8         
    35    44        
    56    17        
    43    37        
    26    78        
    53    42        
     5    21        
    42    18        
    94    100       
    63    29        
    92    39        
    21    83        
    21    83        
    36    41        
    15    25        
    28    91        
    64    65        
    19    53        
    66    29        
    15    94        
    49    15        
    20    17        
     3    80        
    73    11        
    73    45        
    89    19        
    96    18        
    88    73        
    64    40        
    37    42        
    35    51        
    29    34        
    56    15        
    95    13        
    45    1         
     5    76        
    36    94        
    27    25        
    87    26        
    96    51        
    30    77        
    55    6         
    36    80        
    96    94        
    35    99        
    91    2         
    19    63        
    82    77        
    75    70        
    67    92        
    91    2         
     3    66        
    94    31        
    55    14        
    59    88        
    33    12        
    60    74        
    90    30        
    42    38        
     2    57        
    81    1         
    52    86        
    62    43        
    59    92        
    94    58        
    73    82        
    85    20        
    30    60        
    11    35        
    50    15        
    40    12        
    17    78        
    13    82        
    76    48        
    19    44        
    13    33        
    84    8         
     4    38        
     2    40        
    83    36        
    82    95        
    91    91        
    32    41        
    75    39        
     3    76        
    79    2         
    60    73        
     1    95        
    25    10        
    27    3         
    39    78        
    82    100       
    33    50        
    28    13        
    54    22        
    48    89        
    98    33        
    32    28        
    37    99        
    20    86        
    51    71        
    20    21        
    62    1         
    68    28        
     3    80        
    66    8         
    82    49        
    41    26        
    26    3         
    68    51        
    99    27        
    86    51        
    52    23        
    71    9         
    65    59        
    60    82        
    52    91        
    40    30        
    82    94        
    33    82        
    70    21        
    39    21        
    84    57        
    76    13        
    64    48        
     9    28        
    40    35        
    51    44        
    62    88        
    65    95        
    99    77        
    49    33        
    93    44        
    28    30        
    64    20        
    16    54        
    61    33        
    90    92        
     7    26        
    40    97        
    64    64        
    87    47        
    91    68        
    92    85        
    37    65        
    32    30        
    38    32        
    73    26        
    70    69        
    74    40        
    47    17        
    50    29        
    60    33        
    77    17        
    79    10        
    69    76        
    90    90        
    69    2         
    42    17        
    83    5         
    13    81        
    60    28        
    79    46        
    33    13        
    31    87        
    72    7         
    26    83        
    39    14        
     9    62        
    15    73        
     6    72        
    50    54        
   100    42        
    80    45        
    90    74        
   100    89        
    20    36        
    40    58        
    56    42        
    41    43        
    63    6         
    71    70        
    26    94        
    49    74        
    74    54        
    49    2         
   100    23        
    55    2         
    39    26        
    21    83        
    21    96        
    43    34        
    64    77        
    61    73        
    33    31        
    70    2         
    26    96        
    69    71        
     2    4         
    59    45        
    39    40        
    52    10        
     3    89        
    78    95        
    26    69        
    55    90        
    47    14        
    14    43        
    22    8         
    44    15        
    60    84        
    71    61        
    76    24        
    96    6         
    39    24        
    70    73        
    81    63        
    26    79        
    39    16        
    81    15        
    47    31        
    34    83        
    59    94        
    69    32        
    62    55        
    12    50        
    17    79        
    73    31        
    23    37        
    57    73        
    42    34        
    18    54        
    31    99        
    45    39        
    64    57        
    24    12        
    76    17        
    79    95        
    32    50        
    87    25        
    27    63        
    30    40        
    29    95        
    47    53        
    67    58        
     3    93        
    78    85        
    42    13        
     7    19        
     4    82        
    13    48        
    81    17        
    69    58        
    27    15        
    85    10        
    61    29        
    44    49        
    41    84        
    79    21        
    19    55        
    69    21        
    38    19        
    13    95        
    42    30        
    26    76        
    50    42        
    16    55        
    42    59        
     4    78        
    13    85        
    36    68        
    39    68        
    31    41        
     3    13        
   100    11        
    32    86        
    82    77        
    15    44        
    71    64        
    53    41        
    33    81        
    98    91        
    98    100       
    41    74        
    66    83        
     1    60        
    87    25        
    65    7         
    52    66        
     1    17        
    57    16        
    59    85        
    42    48        
    89    48        
    93    87        
    38    37        
    66    33        
    24    27        
    98    95        
    37    8         
    91    27        
    97    32        
    18    79        
    55    79        
    92    73        
    10    86        
    73    14        
    12    51        
    83    28        
    54    22        
    40    64        
    96    27        
    44    51        
    42    77        
    42    52        
    43    95        
    69    43        
    59    82        
    93    74        
    21    16        
    70    50        
    31    18        
     4    48        
    24    100       
    75    84        
     4    64        
    64    96        
    18    80        
    66    77        
    36    79        
    52    68        
    66    6         
    49    26        
    59    68        
    24    96        
    90    60        
    96    82        
    86    54        
    17    12        
    30    24        
    11    42        
    13    70        
    50    34        
     7    97        
     2    10        
    55    98        
    10    24        
    55    33        
    74    27        
    21    55        
    77    39        
     7    5         
    88    6         
    83    34        
    66    20        
    41    19        
    88    40        
    28    59        
    54    36        
    51    48        
    95    76        
    10    67        
    39    79        
    94    83        
    22    47        
    83    7         
    99    94        
    82    87        
    63    97        
    52    38        
    64    40        
    41    14        
    43    56        
    33    7         
    59    16        
    24    59        
    38    46        
    53    8         
    19    78        
    63    31        
    92    43        
    85    53        
    29    32        
    99    22        
   100    50        
    74    81        
    68    64        
    23    21        
    42    18        
    54    84        
    59    35        
    44    92        
    73    43        
    65    87        
     9    52        
    53    61        
    75    66        
    47    27        
    14    28        
     1    38        
    42    7         
    14    45        
     8    96        
    87    54        
    62    33        
    58    37        
    29    36        
    34    92        
    74    76        
    18    55        
    94    30        
    11    13        
    20    53        
    16    32        
    10    21        
    36    56        
    89    24        
    34    81        
    25    27        
    64    6         
    37    72        
    19    48        
    93    33        
    74    75        
    69    96        
    88    98        
     6    70        
    91    39        
    53    49        
    14    4         
    48    90        
    67    92        
    67    56        
    98    8         
    26    81        
    99    29        
    97    88        
    31    30        
    30    28        
   100    56        
    63    80        
    21    38        
    28    40        
    70    18        
    99    52        
    63    56        
    96    94        
    24    70        
    95    59        
     8    53        
    54    77        
    99    6         
   100    89        
    50    17        
    64    24        
    18    90        
    24    9         
    80    5         
    11    45        
    38    39        
    24    9         
    97    58        
    51    36        
    25    56        
    76    67        
    65    28        
    81    88        
    29    93        
    46    18        
    31    18        
    88    75        
    24    40        
    30    82        
    74    29        
    39    16        
    90    15        
    52    87        
    66    44        
    16    84        
    98    98        
    92    10        
    92    37        
    43    35        
     3    9         
    25    9         
    91    75        
    10    66        
    41    73        
     4    61        
    79    21        
    51    53        
    41    25        
    30    49        
     7    48        
    54    3         
    26    3         
    88    42        
     1    7         
    29    30        
    63    83        
