Weight    Value     
    35    35        
     3    27        
    97    33        
     6    41        
    60    10        
     3    46        
    81    17        
    55    19        
     5    2         
    19    86        
    96    13        
    60    87        
    26    58        
     9    98        
    81    62        
    25    42        
    73    91        
    99    30        
     7    91        
    50    32        
    35    69        
    33    99        
    40    68        
    96    53        
    46    63        
    64    96        
    76    39        
    27    48        
     4    20        
    32    3         
    51    100       
    81    98        
    69    80        
     1    80        
    31    24        
    75    62        
    37    62        
    22    80        
    52    19        
    75    26        
     2    17        
    33    26        
    38    26        
    87    55        
     1    8         
    20    62        
    62    56        
    55    80        
    10    17        
    32    65        
    79    9         
     2    95        
    42    74        
    88    36        
    58    30        
    52    97        
    64    65        
    74    55        
    99    1         
    30    38        
    38    81        
     3    53        
    33    45        
    27    87        
    52    72        
    51    25        
    69    74        
     7    25        
    92    2         
    47    50        
     3    9         
    63    95        
    46    2         
    90    63        
    12    18        
    64    74        
    60    68        
    25    19        
    97    79        
    31    71        
    57    25        
    15    55        
    63    93        
    21    91        
    94    10        
    51    13        
    45    40        
    68    55        
    72    53        
    18    70        
    89    35        
    81    59        
    65    31        
    45    30        
    75    33        
    80    28        
    62    2         
    80    51        
    27    48        
    69    38        
    84    34        
    77    31        
    12    57        
    21    53        
    42    17        
    16    43        
    97    40        
    80    57        
     3    29        
    44    17        
    43    37        
    38    17        
     4    98        
    18    95        
    97    56        
    17    64        
    69    26        
     1    20        
     3    81        
    80    36        
    30    100       
    69    80        
    81    45        
    92    11        
     9    15        
    48    72        
    85    79        
    34    17        
     6    35        
    94    59        
    11    41        
     2    28        
    92    59        
    44    49        
     9    88        
    87    16        
    59    83        
    29    97        
    57    3         
    28    1         
    69    57        
    66    7         
     2    80        
     1    45        
    39    85        
    10    38        
    46    93        
    96    48        
    60    21        
    56    75        
    52    98        
    18    62        
    62    30        
    18    60        
    86    12        
    89    43        
    87    79        
    47    19        
    73    94        
    69    46        
    41    89        
    66    100       
    60    11        
    83    86        
    88    61        
    37    52        
    87    72        
    50    70        
    90    10        
    23    95        
    28    72        
    89    47        
    67    87        
    84    40        
    36    48        
    17    60        
    17    74        
    15    77        
    16    23        
    10    59        
    50    39        
    64    23        
    95    38        
    71    26        
     9    55        
    75    35        
    61    54        
    24    46        
    32    8         
    88    14        
     4    14        
    87    15        
    82    20        
    20    35        
    10    76        
    14    88        
    47    68        
    64    55        
    33    95        
    64    35        
    78    24        
    83    52        
    82    47        
    56    62        
    73    81        
     8    40        
    14    54        
    25    28        
    27    78        
    80    60        
    96    25        
    25    4         
    44    98        
    65    75        
    30    2         
    50    49        
    37    8         
    80    99        
    72    99        
    85    75        
    52    47        
    56    33        
    43    18        
    80    58        
    88    36        
    44    88        
    44    29        
    41    94        
    95    18        
    92    83        
    86    48        
    28    6         
     4    85        
    81    30        
    66    95        
    42    45        
    88    17        
    76    98        
    20    25        
    32    46        
    87    100       
    21    33        
    17    66        
    72    100       
     4    92        
    26    40        
    90    37        
    72    18        
    38    11        
    95    75        
    99    86        
    79    29        
     1    26        
    18    73        
    75    53        
    74    14        
    26    46        
    65    39        
    84    71        
    13    13        
    18    95        
    61    18        
    17    22        
    86    90        
    67    2         
    42    78        
    48    17        
    63    66        
    57    98        
    58    31        
     2    68        
     9    37        
    34    14        
    64    43        
    20    94        
    98    17        
   100    74        
    74    90        
    49    74        
    37    62        
    99    29        
    61    20        
    21    78        
    93    42        
    86    89        
    43    25        
    61    57        
    85    27        
    44    13        
    85    45        
    93    87        
    57    55        
    56    67        
    71    41        
    75    67        
    54    28        
    61    81        
    60    5         
    86    100       
    69    23        
    30    30        
    91    30        
    99    33        
    10    32        
    65    37        
    91    88        
    43    59        
    10    9         
   100    24        
    15    59        
   100    48        
    82    19        
    90    26        
    75    70        
    67    73        
    15    60        
    38    61        
    45    8         
    29    78        
    15    74        
    78    76        
    90    39        
    17    20        
    66    67        
     5    90        
    19    37        
    44    61        
   100    48        
    68    69        
    98    38        
    74    53        
    19    94        
    87    37        
    28    72        
    78    40        
     5    66        
    78    24        
    39    17        
    12    36        
    58    86        
    51    69        
    32    43        
    69    40        
    81    79        
    15    64        
    12    42        
    54    8         
    37    74        
    27    65        
    30    93        
    69    54        
    12    79        
     3    74        
     5    85        
    36    19        
    38    55        
    53    62        
    70    75        
     8    66        
    89    84        
    96    56        
    21    72        
    92    97        
    89    68        
    78    90        
    53    79        
    13    89        
    51    82        
    86    58        
    82    67        
    38    16        
    17    38        
    61    42        
     4    24        
    31    12        
    42    41        
     3    71        
     4    20        
    31    60        
    66    20        
    71    78        
    93    40        
    60    70        
    77    71        
    60    9         
    42    78        
    17    35        
    26    80        
    48    47        
    59    100       
    50    68        
     1    12        
    34    52        
    93    12        
    54    59        
    74    25        
    46    65        
    53    66        
    32    62        
    32    12        
     3    16        
    97    40        
    23    33        
    97    32        
    94    3         
    72    18        
     4    56        
    41    56        
    72    69        
    87    39        
    54    64        
    18    33        
    60    86        
    29    30        
    65    83        
    69    55        
    83    2         
    66    81        
    41    50        
    24    8         
    64    51        
    19    53        
    38    82        
    57    55        
    78    31        
    74    56        
    38    39        
    63    12        
    65    53        
    52    85        
    27    73        
     2    81        
    79    6         
    16    63        
     3    87        
    20    76        
    33    79        
    81    51        
    13    93        
    92    78        
    40    47        
    44    59        
    50    11        
    45    92        
     9    34        
    37    8         
     9    27        
    63    76        
    31    9         
    27    70        
    15    2         
    73    81        
   100    25        
    71    60        
     8    78        
    48    44        
    40    22        
    96    88        
    12    65        
    76    81        
    34    79        
    71    21        
    67    60        
    59    33        
    25    22        
    60    82        
    28    97        
    65    19        
    25    48        
    97    40        
    27    5         
    84    80        
    12    23        
     5    49        
    29    82        
    70    46        
    59    18        
    11    45        
    96    98        
    32    76        
    77    88        
    17    82        
    66    59        
    73    20        
    55    80        
    71    88        
    86    50        
    29    3         
    97    34        
    20    6         
    37    98        
    63    74        
    93    87        
    20    86        
    19    92        
    41    54        
    93    54        
    39    34        
    62    41        
    60    67        
    99    82        
    19    4         
   100    11        
    25    4         
    62    86        
    98    1         
    42    45        
    20    49        
    17    50        
     6    6         
    28    53        
    67    11        
    28    57        
    50    70        
    52    39        
    79    34        
    79    81        
    48    63        
     7    59        
    89    55        
    86    34        
    97    46        
     1    60        
    45    48        
    59    47        
    19    78        
    44    74        
    26    25        
    36    38        
    24    8         
    58    48        
    73    13        
    92    48        
    36    97        
    16    62        
    41    12        
    71    60        
    53    91        
    27    78        
    75    66        
    17    74        
    75    84        
    97    7         
    30    13        
    44    92        
    43    37        
    52    76        
    59    84        
    80    12        
    35    76        
    84    61        
    83    18        
     9    10        
    83    98        
    45    18        
    78    34        
    89    22        
    24    72        
    20    11        
     4    47        
    20    1         
     3    31        
     4    54        
    94    73        
    39    26        
    29    74        
    21    82        
     5    38        
     7    98        
    12    59        
    16    2         
    87    49        
    41    32        
    75    68        
    73    76        
    88    70        
    88    82        
    99    6         
    14    75        
    95    45        
    56    48        
    51    59        
    46    37        
    68    5         
     1    28        
    50    45        
    91    86        
    81    40        
    47    52        
